,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Shot Creating Action,SCA_p90,Shots Shots Liveball Pass,Shots from Deadball Pass,Shots from Take-Ons,Shots from Shots,Shots from Fouls,Shots from Defense,Goal Creating Action,GCA_p90,Goals from Liveball Pass,Goals from Deadball Pass,Goals from Take-Ons,Goals from Shots,Goals from Fouls,Goals from Defense,Pass Completed,Pass Attempted,Pass Comp%,Total Pass Dist,Prog Pass Dist,Short Comp,Short Attempt,Short Comp%,Med Comp,Med Attempt,Med Comp%,Long Comp,Long Attempt,Long Comp%,Expected Assisted Goal xAG,Expected xA,A-xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
1740,1741,Albert Sambi Lokonga,be BEL,MF,Sevilla,es La Liga,24-346,1999,2,2,152,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,96,104,92.3,1522,352,52,54,96.3,34,36,94.4,8,12,66.7,0.0,0.0,0.0,0,6,0,0,7
1741,1742,Chuky san jose,es ESP,"MF,FW",Valladolid,es La Liga,20-156,2004,4,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,2,2.02,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,7,12,58.3,110,74,5,6,83.3,0,2,0.0,2,3,66.7,0.0,0.1,0.0,1,0,0,0,0
1742,1743,Antonio Sanabria,py PAR,"FW,MF",Torino,it Serie A,28-212,1996,4,3,216,2.4,1,0,1,1,0,1,1,0,1.7,0.9,0.1,1.0,1,1,10,0.42,0.00,0.42,0.42,0.42,0.70,0.05,0.75,0.37,0.42,4,1.67,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,39,51,76.5,529,34,22,28,78.6,13,15,86.7,1,3,33.3,0.1,0.1,-0.1,2,1,0,0,1
1743,1744,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,24-160,2000,7,6,494,5.5,3,0,3,2,1,1,1,0,1.9,1.1,0.1,1.2,13,29,30,0.55,0.00,0.55,0.36,0.36,0.35,0.02,0.37,0.20,0.23,13,2.36,11,0,0,1,1,0,3,0.54,2,0,0,1,0,0,158,191,82.7,2318,550,95,109,87.2,46,56,82.1,11,16,68.8,0.1,0.3,-0.1,3,22,6,0,29
1744,1745,Antonio Sánchez,es ESP,"DF,FW",Mallorca,es La Liga,27-275,1997,8,4,423,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,3,10,12,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15,7,1.49,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,128,184,69.6,2043,728,67,79,84.8,41,57,71.9,13,34,38.2,0.2,0.5,-0.2,3,6,5,3,10
1745,1746,Iván Sánchez,es ESP,"MF,FW",Valladolid,es La Liga,32-009,1992,8,2,361,4.0,1,0,1,1,0,0,1,0,0.1,0.1,0.8,0.9,12,20,22,0.25,0.00,0.25,0.25,0.25,0.03,0.20,0.23,0.03,0.23,12,2.99,9,2,0,0,1,0,0,0.00,0,0,0,0,0,0,108,148,73.0,2103,656,43,49,87.8,46,60,76.7,19,34,55.9,0.8,0.5,-0.8,5,11,4,1,20
1746,1747,Javi Sánchez,es ESP,DF,Valladolid,es La Liga,27-202,1997,3,3,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,3,1.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,130,149,87.2,2751,1060,47,50,94.0,60,64,93.8,23,32,71.9,0.2,0.3,-0.2,1,5,0,0,3
1747,1748,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,es La Liga,21-048,2003,6,3,308,3.4,1,0,1,1,0,0,3,1,0.6,0.6,0.2,0.8,3,9,13,0.29,0.00,0.29,0.29,0.29,0.18,0.05,0.23,0.18,0.23,8,2.33,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,77,97,79.4,1097,292,42,47,89.4,32,38,84.2,1,1,100.0,0.2,0.1,-0.2,6,6,2,1,9
1748,1749,Manu Sánchez,es ESP,DF,Alavés,es La Liga,24-039,2000,7,5,494,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,11,17,14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,6,1.09,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,142,211,67.3,2242,973,78,97,80.4,51,66,77.3,11,32,34.4,0.1,0.2,-0.1,3,12,4,3,17
1749,1750,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26-319,1997,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.17,0,1,0,0,0,0,1,0.17,0,1,0,0,0,0,217,271,80.1,4982,3228,47,48,97.9,134,138,97.1,36,84,42.9,0.0,0.0,0.0,0,5,0,0,0
1750,1751,Jadon Sancho,eng ENG,FW,Chelsea,eng Premier League,24-191,2000,3,2,171,1.9,0,3,3,0,0,0,1,0,0.1,0.1,0.9,0.9,6,9,15,0.00,1.58,1.58,0.00,1.58,0.04,0.45,0.49,0.04,0.49,9,4.74,8,0,0,0,1,0,5,2.63,4,0,0,0,1,0,57,70,81.4,808,199,35,40,87.5,19,24,79.2,1,2,50.0,0.9,0.6,+2.1,5,1,5,0,9
1751,1752,Philipp Sander,de GER,MF,Gladbach,de Bundesliga,26-224,1998,5,3,246,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,16,2,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.15,0.12,0.15,2,0.73,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,130,155,83.9,2054,559,64,70,91.4,59,67,88.1,4,13,30.8,0.1,0.2,-0.1,1,13,2,1,16
1752,1753,Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,28-265,1996,2,0,34,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,6,7,0.00,0.00,0.00,0.00,0.00,0.35,0.41,0.76,0.35,0.76,4,10.59,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,18,24,75.0,215,68,13,16,81.3,4,5,80.0,0,0,,0.2,0.1,-0.2,2,1,3,0,6
1753,1754,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,22-173,2002,5,5,428,4.8,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,18,1,0.21,0.00,0.21,0.21,0.21,0.04,0.00,0.05,0.04,0.05,6,1.26,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,200,233,85.8,3691,1316,67,74,90.5,119,128,93.0,10,25,40.0,0.0,0.0,0.0,1,16,0,0,18
1754,1755,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,eng Premier League,26-305,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,4,1.70,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,86,113,76.1,1305,411,48,56,85.7,32,41,78.0,5,9,55.6,0.0,0.1,0.0,1,5,1,0,8
1755,1756,Nhoa Sangui,fr FRA,DF,Reims,fr Ligue 1,18-218,2006,6,3,346,3.8,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,11,16,0.00,0.26,0.26,0.00,0.26,0.02,0.05,0.08,0.02,0.08,5,1.30,5,0,0,0,0,0,1,0.26,1,0,0,0,0,0,141,173,81.5,2201,569,74,79,93.7,57,67,85.1,6,14,42.9,0.2,0.2,+0.8,2,8,2,1,11
1756,1757,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,23-277,2000,5,5,433,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,6,1.25,5,0,0,0,1,0,1,0.21,1,0,0,0,0,0,115,152,75.7,1830,410,65,77,84.4,42,54,77.8,8,13,61.5,0.0,0.1,0.0,1,14,1,0,12
1757,1758,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,29-207,1995,5,3,273,3.0,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,0,17,0,0.00,0.33,0.33,0.00,0.33,0.03,0.07,0.10,0.03,0.10,6,1.98,5,0,0,0,1,0,2,0.66,1,0,0,0,1,0,129,160,80.6,2397,917,51,63,81.0,57,64,89.1,17,24,70.8,0.2,0.1,+0.8,3,17,2,0,17
1758,1759,Jesús Santiago,es ESP,MF,Getafe,es La Liga,20-130,2004,7,2,167,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,2,1.08,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,34,48,70.8,476,163,22,29,75.9,9,11,81.8,1,4,25.0,0.0,0.1,0.0,0,5,0,0,5
1759,1760,Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,20-152,2004,5,5,432,4.8,3,0,3,3,0,0,0,0,1.9,1.9,0.7,2.5,6,24,8,0.62,0.00,0.62,0.62,0.62,0.39,0.14,0.52,0.39,0.52,13,2.71,10,0,0,1,0,2,1,0.21,0,0,0,0,0,1,194,232,83.6,3322,1135,90,108,83.3,87,100,87.0,15,17,88.2,0.7,0.4,-0.7,6,20,4,0,24
1760,1761,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,21-174,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,66,91,72.5,1551,1113,17,17,100.0,29,29,100.0,20,45,44.4,0.0,0.0,0.0,0,0,0,0,0
1761,1762,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,22-071,2002,6,4,359,4.0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,23,16,41,0.00,0.00,0.00,0.00,0.00,0.10,0.15,0.25,0.10,0.25,16,4.01,14,0,1,0,1,0,3,0.75,2,0,0,0,1,0,152,196,77.6,2408,519,86,94,91.5,59,74,79.7,6,18,33.3,0.6,0.7,-0.6,5,12,7,3,16
1762,1763,Pablo Sarabia,es ESP,"FW,MF",Wolves,eng Premier League,32-144,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,27,63.0,311,146,9,11,81.8,6,7,85.7,2,4,50.0,0.0,0.0,0.0,0,3,2,0,6
1763,1764,Jeremy Sarmiento,ec ECU,MF,Brighton,eng Premier League,22-108,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,0
1764,1765,Amin Sarr,se SWE,FW,Hellas Verona,it Serie A,23-205,2001,2,1,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,7,11,63.6,79,20,4,7,57.1,1,1,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,1
1765,1766,Ismaila Sarr,sn SEN,"FW,MF",Crystal Palace,eng Premier League,26-220,1998,6,0,133,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.9,1.4,2,2,18,0.00,0.00,0.00,0.00,0.00,0.33,0.61,0.94,0.33,0.94,9,6.09,5,0,1,1,2,0,1,0.68,0,0,0,0,1,0,41,55,74.5,566,148,20,22,90.9,19,27,70.4,0,1,0.0,0.9,0.7,-0.9,5,1,3,1,2
1766,1767,Mamadou Sarr,fr FRA,DF,Strasbourg,fr Ligue 1,19-034,2005,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,3,1.67,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,56,62,90.3,987,260,25,26,96.2,27,32,84.4,4,4,100.0,0.0,0.0,0.0,2,6,0,0,2
1767,1768,Martin Satriano,uy URU,"FW,DF",Lens,fr Ligue 1,23-225,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,2,1,11,0.00,0.00,0.00,0.00,0.00,0.71,0.26,0.98,0.71,0.98,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,10,18,55.6,103,26,8,11,72.7,1,3,33.3,0,1,0.0,0.1,0.1,-0.1,2,0,0,0,1
1768,1769,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,32-285,1991,6,6,529,5.9,1,2,3,0,1,1,0,0,1.1,0.3,2.3,2.6,4,49,26,0.17,0.34,0.51,0.00,0.34,0.19,0.40,0.58,0.05,0.45,26,4.42,15,9,0,0,0,2,3,0.51,2,1,0,0,0,0,245,350,70.0,5236,1643,92,108,85.2,86,118,72.9,58,100,58.0,2.3,1.4,-0.3,14,34,4,1,49
1769,1770,Sávio,br BRA,FW,Manchester City,eng Premier League,20-175,2004,5,4,291,3.2,0,2,2,0,0,0,1,0,0.8,0.8,1.5,2.3,32,13,47,0.00,0.62,0.62,0.00,0.62,0.24,0.47,0.71,0.24,0.71,23,7.11,16,0,3,0,3,1,5,1.55,2,0,1,0,1,1,134,172,77.9,1777,312,93,106,87.7,34,44,77.3,2,12,16.7,1.5,0.9,+0.5,8,2,12,3,13
1770,1771,Nicolò Savona,it ITA,DF,Juventus,it Serie A,21-197,2003,5,3,318,3.5,1,0,1,1,0,0,0,0,0.1,0.1,0.5,0.6,8,12,13,0.28,0.00,0.28,0.28,0.28,0.04,0.14,0.18,0.04,0.18,3,0.85,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,207,230,90.0,3448,798,87,91,95.6,104,115,90.4,10,15,66.7,0.5,0.3,-0.5,3,7,1,1,12
1771,1772,Saba Sazonov,ge GEO,DF,Torino,it Serie A,22-244,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0.0,0,0,0,0,0
1772,1773,Joe Scally,us USA,DF,Gladbach,de Bundesliga,21-276,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.4,11,8,15,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,8,1.60,7,0,0,0,1,0,1,0.20,1,0,0,0,0,0,269,313,85.9,4460,1258,133,139,95.7,110,125,88.0,17,32,53.1,0.3,0.2,-0.3,2,15,2,1,8
1773,1774,Kevin Schade,de GER,"FW,MF",Brentford,eng Premier League,22-310,2001,6,3,298,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,10,3,26,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17,6,1.81,2,0,2,1,1,0,1,0.30,0,0,0,1,0,0,34,68,50.0,458,83,21,35,60.0,11,24,45.8,1,4,25.0,0.1,0.0,-0.1,2,2,2,0,3
1774,1775,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,25-172,1999,5,4,355,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,14,14,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,5,1.27,3,0,0,1,1,0,1,0.25,1,0,0,0,0,0,125,166,75.3,1695,463,75,89,84.3,40,51,78.4,3,11,27.3,0.0,0.1,0.0,1,9,2,0,14
1775,1776,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,32-287,1991,4,4,297,3.3,1,0,1,1,0,0,1,1,0.6,0.6,0.0,0.6,0,9,4,0.30,0.00,0.30,0.30,0.30,0.18,0.00,0.18,0.18,0.18,1,0.30,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,169,203,83.3,3444,1401,63,73,86.3,85,87,97.7,21,39,53.8,0.0,0.3,0.0,0,18,1,0,9
1776,1777,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,28-252,1996,3,1,86,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,2,6,0.00,0.00,0.00,0.00,0.00,0.33,0.12,0.46,0.33,0.46,4,4.14,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,15,18,83.3,191,18,10,11,90.9,4,6,66.7,0,0,,0.1,0.1,-0.1,2,1,0,0,2
1777,1778,Stefan Schimmer,de GER,FW,Heidenheim,de Bundesliga,30-157,1994,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.08,0.33,0.41,0.08,0.41,1,2.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,7,71.4,92,12,0,1,0.0,4,5,80.0,0,0,,0.1,0.1,-0.1,1,0,0,0,1
1778,1779,Joël Schingtienne,be BEL,DF,Venezia,it Serie A,22-051,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,28,29,96.6,470,117,10,11,90.9,17,17,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,0
1779,1780,Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,27-157,1997,5,5,417,4.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,0,22,1,0.22,0.00,0.22,0.22,0.22,0.09,0.00,0.09,0.09,0.09,9,1.94,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,261,300,87.0,4891,1890,98,104,94.2,144,155,92.9,18,37,48.6,0.0,0.1,0.0,0,16,1,0,22
1780,1781,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,24-306,1999,4,4,342,3.8,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.3,11,34,7,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,11,2.89,8,1,0,0,1,1,0,0.00,0,0,0,0,0,0,284,327,86.9,5130,2104,116,124,93.5,142,161,88.2,25,34,73.5,0.0,0.2,0.0,2,34,2,1,34
1781,1782,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,eng Premier League,31-284,1992,5,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,4,0.00,0.00,0.00,0.00,0.00,0.12,0.22,0.34,0.12,0.34,2,5.29,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,18,24,75.0,286,56,7,8,87.5,9,12,75.0,1,3,33.3,0.1,0.1,-0.1,1,2,0,0,1
1782,1783,Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,24-249,2000,5,5,432,4.8,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,19,34,31,0.00,0.21,0.21,0.00,0.21,0.05,0.23,0.28,0.05,0.28,20,4.17,17,0,0,3,0,0,3,0.62,3,0,0,0,0,0,178,234,76.1,2735,795,99,109,90.8,56,82,68.3,15,26,57.7,1.1,1.2,-0.1,10,16,15,5,34
1783,1784,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,26-215,1998,4,2,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,2,14,1,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.21,0.04,0.21,9,5.59,3,4,0,2,0,0,0,0.00,0,0,0,0,0,0,97,126,77.0,1853,506,36,44,81.8,42,48,87.5,17,29,58.6,0.3,0.2,-0.3,4,16,1,0,14
1784,1785,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,25-112,1999,5,4,380,4.2,2,0,2,2,0,0,0,0,0.9,0.9,0.2,1.1,5,8,8,0.47,0.00,0.47,0.47,0.47,0.20,0.05,0.25,0.20,0.25,11,2.61,10,0,1,0,0,0,1,0.24,1,0,0,0,0,0,95,119,79.8,1728,497,39,44,88.6,39,43,90.7,13,23,56.5,0.2,0.4,-0.2,5,4,3,1,8
1785,1786,Marvin Schulz,de GER,MF,Holstein Kiel,de Bundesliga,29-261,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,1,10.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,9,11,81.8,158,43,3,3,100.0,4,4,100.0,1,3,33.3,0.0,0.0,0.0,1,0,0,0,1
1786,1787,Léo Scienza,br BRA,"FW,MF",Heidenheim,de Bundesliga,26-019,1998,4,3,239,2.7,1,0,1,1,0,0,0,0,0.9,0.9,0.6,1.5,18,9,12,0.38,0.00,0.38,0.38,0.38,0.35,0.23,0.58,0.35,0.58,12,4.52,3,3,3,1,2,0,2,0.75,1,1,0,0,0,0,38,64,59.4,677,315,19,27,70.4,12,21,57.1,6,12,50.0,0.6,0.8,-0.6,3,9,4,0,9
1787,1788,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,21-042,2003,6,1,173,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,16,10,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,5,2.59,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,67,78,85.9,1215,431,33,37,89.2,29,31,93.5,5,6,83.3,0.1,0.1,-0.1,1,9,1,0,16
1788,1789,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28-124,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,145,191,75.9,3946,3002,26,27,96.3,75,76,98.7,44,86,51.2,0.0,0.0,0.0,0,2,0,0,0
1789,1790,Jérémy Sebas,mq MTQ,"FW,MF",Strasbourg,fr Ligue 1,21-171,2003,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,4,75.0,37,20,2,3,66.7,1,1,100.0,0,0,,0.0,0.0,0.0,0,1,1,0,2
1790,1791,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,32-294,1991,5,5,409,4.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,117,147,79.6,2384,916,37,43,86.0,62,75,82.7,17,26,65.4,0.0,0.0,0.0,0,6,0,0,6
1791,1792,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,24-120,2000,6,5,439,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,14,19,13,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,4,0.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,200,244,82.0,3425,1023,89,97,91.8,97,116,83.6,12,24,50.0,0.1,0.3,-0.1,1,14,5,0,19
1792,1793,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,23-151,2001,4,3,310,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,28,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,8,2.32,8,0,0,0,0,0,2,0.58,2,0,0,0,0,0,186,216,86.1,3140,935,91,100,91.0,80,96,83.3,14,17,82.4,0.1,0.1,-0.1,2,16,3,0,28
1793,1794,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32-219,1992,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.17,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,80,166,48.2,2864,2394,17,17,100.0,24,24,100.0,39,122,32.0,0.0,0.1,0.0,0,11,1,0,1
1794,1795,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,30-321,1993,4,4,330,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,5,6,5,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,5,1.36,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0,125,149,83.9,1949,521,66,75,88.0,54,63,85.7,4,8,50.0,0.1,0.1,-0.1,2,4,1,0,6
1795,1796,Antoine Semenyo,gh GHA,FW,Bournemouth,eng Premier League,24-269,2000,6,6,517,5.7,3,1,4,3,0,0,2,0,2.1,2.1,1.9,3.9,20,10,47,0.52,0.17,0.70,0.52,0.70,0.36,0.32,0.68,0.36,0.68,19,3.31,10,0,3,3,3,0,3,0.52,1,0,1,0,1,0,108,151,71.5,1641,375,61,72,84.7,36,49,73.5,8,16,50.0,1.9,1.3,-0.9,6,6,3,1,10
1796,1797,Marvin Senaya,tg TOG,DF,Strasbourg,fr Ligue 1,23-248,2001,5,0,104,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,2,1.73,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,65,77,84.4,1136,372,29,31,93.5,30,34,88.2,5,9,55.6,0.1,0.0,-0.1,2,2,1,1,3
1797,1798,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,27-145,1997,4,4,346,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,7,1.82,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,139,193,72.0,2860,1540,46,55,83.6,75,85,88.2,18,50,36.0,0.1,0.3,-0.1,2,23,5,2,15
